Index,Build Time,Push Time,Total Time,Queue Time
1,127,26,157,172
2,126,33,163,179
3,128,32,164,181
4,122,24,151,162
5,127,26,157,170
6,126,25,155,167
7,128,31,165,181
8,134,46,185,203
9,129,24,156,169
10,127,61,192,211
11,119,25,148,160
12,122,24,150,164
13,122,25,152,164
14,120,28,153,164
15,120,23,147,159
16,155,32,193,208
17,126,27,157,170
18,122,24,150,164
19,121,24,150,160
20,127,33,165,181
21,131,31,166,182
22,118,24,146,157
23,127,26,157,170
24,122,25,151,162
25,121,32,158,173
26,120,31,157,170
27,121,33,159,174
28,125,25,154,166
29,127,25,156,170
30,132,33,169,187
31,126,24,154,167
32,122,33,160,177
33,121,24,149,161
34,127,23,156,170
35,128,25,157,169
36,119,24,147,159
37,123,25,152,167
38,127,25,156,168
39,123,31,159,176
40,129,24,157,170
41,125,27,156,168
42,122,33,160,176
43,119,24,146,156
44,124,24,150,163
45,133,25,162,174
46,128,30,164,178
47,124,23,151,163
48,127,25,156,168
49,126,26,157,169
50,123,24,151,162
51,121,32,158,174
52,121,26,151,164
53,123,24,151,162
54,121,26,151,163
55,122,26,151,165
56,127,26,158,169
57,123,33,160,176
58,124,26,154,167
59,124,32,160,176
60,126,26,156,169
61,115,32,152,165
62,132,25,164,175
63,123,25,152,163
64,124,27,155,166
65,120,24,148,159
66,124,29,156,165
67,130,24,161,171
68,128,31,164,179
69,125,32,162,177
70,123,24,151,161
71,124,24,152,164
72,125,32,161,177
73,123,32,159,175
74,119,25,148,159
75,122,32,160,173
76,122,26,152,163
77,121,25,149,161
78,125,24,153,163
79,122,26,152,163
80,122,25,151,160
